Раздел,Показатель,Целевое_значение,Фактическое_значение,Статус,Комментарии
Посещаемость,Общее количество посетителей,>50,67,🟢 Отлично,Высокая посещаемость
Посещаемость,Новые клиенты,Без ограничений,4,⚪ Норма,Хорошая конверсия
Посещаемость,Возвращающиеся клиенты,Без ограничений,63,⚪ Норма,Стабильная клиентская база
Загрузка пространства,Фиксированные места (%),>80,89,🟢 Отлично,Превышение цели
Загрузка пространства,Гибкие места (%),>75,73,🟡 Близко к цели,Небольшое отставание от цели
Загрузка пространства,Переговорные комнаты (%),>60,65,🟢 Отлично,Хороший результат
Финансы,Общая выручка (руб.),План дня,32750,🟢 Отлично,Превышение плана на 7%
Финансы,Средний чек (руб.),>500,689,🟢 Отлично,Выше среднего по рынку
Финансы,Количество транзакций,Без ограничений,47,⚪ Норма,Стандартный показатель
Финансы,Доход от переговорных (руб.),Без ограничений,4850,⚪ Норма,Хороший доход от переговорных
Использование пространства,Загрузка тихой зоны (%),>70,95,🟢 Отлично,Очень высокий спрос
Использование пространства,Загрузка зоны звонков (%),>60,78,🟢 Отлично,Активно используется
Использование пространства,Загрузка кухни/отдыха (%),>50,82,🟢 Отлично,Популярная зона
Продажи,Количество экскурсий,Без ограничений,7,⚪ Норма,Много интересующихся
Продажи,Конверсия в продажу (%),>30,57,🟢 Отлично,Отличная конверсия
Продажи,Продления тарифов,Без ограничений,3,⚪ Норма,Стабильность клиентской базы
Техническое состояние,Время работы интернета (%),>99,99.8,🟢 Отлично,Стабильная работа
Техническое состояние,Чистота помещений (1-5),>4.5,4.7,🟢 Отлично,Высокие стандарты чистоты
Техническое состояние,Количество жалоб,<3,1,🟢 Отлично,Минимум жалоб
Обслуживание клиентов,Время отклика службы поддержки (мин),<15,12,🟢 Отлично,Быстрая обработка запросов
Обслуживание клиентов,Положительные отзывы,Без ограничений,3,⚪ Норма,Довольные клиенты
Обслуживание клиентов,NPS индекс,>30,42,🟢 Отлично,Хороший индекс лояльности
